"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Observations","National court","Comments","Internal comment","Additional information","Notes relating to the decision","Collection of the document","Date of document","Date of publication","Author","Document sector","Document year","Document type","Document number","Document corrigendum","Date of effect","Date of end of validity","Date of transposition","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"Judgment of the General Court (Second Chamber, Extended Composition) of 8 July 2020.#CA Consumer Finance v European Central Bank.#Economic and monetary policy – Prudential supervision of credit institutions – Article 18(1) of Regulation (EU) No 1024/2013 – Administrative pecuniary penalty imposed by the ECB on a credit institution – First subparagraph of Article 26(3) of Regulation (EU) No 575/2013 – Continued breach of capital requirements – Negligent breach – Rights of defence – Amount of the penalty – Obligation to state reasons.#Case T-578/18.","","62018TJ0578","","","","","","",,"","dfa04622-1a6d-47ef-914d-2268e4a1de70","","2020-07-09","091209/12/2023 07:16:032023","Judgment","","ECLI:EU:T:2020:306","Economic and monetary policy","Economic and monetary policy","","","","","","","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017CJ0450, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1093, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61999CJ0228, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TJ0043, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62009CJ0521, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62010CJ0628, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61988CJ0350, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008M019, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62009CO0350, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008CJ0089, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006CJ0308, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E102, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015TJ0712, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0468, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62010CJ0386, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32103R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61998TJ0045, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61998CJ0048, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E296, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TJ0111, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2532, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015TJ0095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015Q0423(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CJ0269, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0575, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62011CJ0439, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003R0001, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0017, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019R0876, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007CJ0405","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018TA0578, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CN0458, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CO0456","","","","","POURVOI C-458/20 P","1. Simon, Denys: Politique économique et monétaire - Sanctions de la BCE, Europe 2020, n° 10 Octobre, Comm. 318 (FR)","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2020-07-08","","General Court","6","2018","TJ","0578","","","","","","","","",
"Judgment of the General Court (Second Chamber, Extended Composition) of 8 July 2020.#Crédit agricole SA v European Central Bank.#Economic and monetary policy – Prudential supervision of credit institutions – Article 18(1) of Regulation (EU) No 1024/2013 – Administrative pecuniary penalty imposed by the ECB on a credit institution – First subparagraph of Article 26(3) of Regulation (EU) No 575/2013 – Continued breach of capital requirements – Negligent breach – Retroactive application of less severe enforcement legislation – Absence – Rights of defence – Amount of the penalty – Obligation to state reasons.#Case T-576/18.","","62018TJ0576","","","","","","",,"","2e86b5f9-c10c-11ea-b3a4-01aa75ed71a1","","2020-07-08","231023/10/2024 17:01:012024","Judgment","","ECLI:EU:T:2020:304","Economic and monetary policy, European Central Bank (ECB)","Economic and monetary policy, European Central Bank (ECB)","","","","","","","","","","","","Internal policy of the European Union, Internal policy of the European Union, Internal policy of the European Union, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, EEC/EC - Economic and monetary policy * Economic and monetary policy, Economic policy, Economic policy, Economic policy","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002CJ0387, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017CJ0450, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006CJ0420, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61999CJ0228, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62002TJ0043, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62016TJ0151, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61998TJ0045, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006CJ0308, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E102, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61990CJ0269, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E296, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E261, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P049, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62011CJ0439, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003R0001, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0017, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019R0876, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61988CJ0350, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008M019, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62009CO0350, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010R1093, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62009CJ0521, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62010CJ0628, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0468, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62010CJ0386, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32103R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008CJ0089, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62006CJ0045, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015TJ0712, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015TJ0095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015Q0423(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0575, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61998CJ0048, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62008TJ0111, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62011TJ0486, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62007CJ0405","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018TA0576, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CN0456, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62020CO0456","","","","","POURVOI C-456/20 P","1. Simon, Denys: Politique économique et monétaire - Sanctions de la BCE, Europe 2020, n° 10 Octobre, Comm. 318 (FR)","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2020-07-08","","General Court","6","2018","TJ","0576","","","","","","","","Court reports – general",
"Guideline (EU) 2020/978 of the European Central Bank of 25 June 2020 on the exercise of the discretion under Article 178(2)(d) of Regulation (EU) No 575/2013 of the European Parliament and of the Council by national competent authorities in relation to less significant institutions with regard to the threshold for assessing the materiality of credit obligations past due (ECB/2020/32)","","32020O0978","","","","","","",,"","244d003b-c0de-11ea-855a-01aa75ed71a1","http://data.europa.eu/eli/guideline/2020/978/oj","2020-07-08","131113/11/2022 07:41:192022","Guideline","credit institution, financial market, EU Member State, powers of the institutions (EU), banking policy, deadline for payment, financial requirements, credit, financial legislation, market supervision","","European Central Bank (ECB), Freedom of establishment, Banking supervision, Microprudential tasks","European Central Bank (ECB), Freedom of establishment","Banking supervision","Microprudential tasks","","Right of establishment and freedom to provide services, Sectoral application, Service activities, Banks","Right of establishment and freedom to provide services","Sectoral application","Service activities","Banks","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0468, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R0171, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1845, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0575","","","","","","","","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-06-25","2020-07-08","European Central Bank","3","2020","O","0978","","2020-06-25, 2020-12-31","No end date","","true","REP","3","OJ L 217, 08/07/2020, p. 5–7
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Judgment of the General Court (Second Chamber, Extended Composition) of 8 July 2020.#VQ v European Central Bank.#Economic and monetary policy — Prudential supervision of credit institutions — Article 18(1) of Regulation (EU) No 1024/2013 — Administrative pecuniary penalty imposed by the ECB on a credit institution for infringement of Article 77(a) of Regulation (EU) No 575/2013 — Rules for publication on the ECB’s website — Article 18(6) of Regulation No 1024/2013 and Article 132(1) of Regulation (EU) No 468/2014.#Case T-203/18.","","62018TJ0203","","","","","","",,"","2ce49eb5-c10c-11ea-b3a4-01aa75ed71a1","","2020-07-08","091209/12/2023 07:29:182023","Judgment","","ECLI:EU:T:2020:313","Economic and monetary policy, European Central Bank (ECB)","Economic and monetary policy, European Central Bank (ECB)","","","","","","","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62014TO0685(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62014CJ0547, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62014CJ0559, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E278, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013L0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62013CJ0603, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61999CJ0261, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62009CJ0027, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015TJ0712, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E279, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62000CJ0001, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0468, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62011CJ0376, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018TO0203, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62015TJ0452, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E0263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P047, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61997CJ0404, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0241, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015Q0423(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0575, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014D0360, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E297, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E277, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62003CJ0017, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:61992CJ0137, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E261, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12007P049","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018TA0203","","","","","","2. Grundmann-van de Krol, C.M.: Uitleg van de artikelen 23 lid 3 en 77 sub a CRR. Publicatie van boetebesluit in geanonimiseerde vorm. Ondeugdelijke motivering van boetehoogte met de consequentie dat de boete in zijn geheel vervalt. : HvJ EU 08-07-2020, nr. T-203/18 : commentaar, Ondernemingsrecht 2020 p. 954-955 (NL), 1. Simon, Denys: Politique économique et monétaire - Sanctions de la BCE, Europe 2020, n° 10 Octobre, Comm. 318 (FR)","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2020-07-08","","General Court","6","2018","TJ","0203","","","","","","","","Court reports – general",
"Order of the Court (Ninth Chamber) of 30 June 2020.#Airbnb Ireland UC and Airbnb Payments UK Ltd v Agenzia delle Entrate.#Request for a preliminary ruling from the Consiglio di Stato.#Reference for a preliminary ruling – Article 53(2) of the Rules of Procedure of the Court of Justice – Letting of immovable property for periods of less than thirty days – Online property rental platform – Manifest inadmissibility.#Case C-723/19.","","62019CO0723","","","","","","",,"","326c6d96-c01e-11ea-855a-01aa75ed71a1","","2020-07-07","081208/12/2023 12:02:242023","Order","","ECLI:EU:C:2020:509","Right of establishment, Customs Union, Competition, Principles, objectives and tasks of the Treaties, Internal market - Principles, Anti-discrimination, Approximation of laws, Freedom to provide services, Free movement of goods, Economic and monetary policy, Non-discrimination on grounds of nationality","Right of establishment, Customs Union, Competition, Principles, objectives and tasks of the Treaties, Internal market - Principles, Anti-discrimination, Approximation of laws, Freedom to provide services, Free movement of goods, Economic and monetary policy, Non-discrimination on grounds of nationality","","","","","","","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E018, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000L0031, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006L0123, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E120, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E116, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019CO0368, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CO0651, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E267, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E049, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018H0720(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E003, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E032, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E056, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E044, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32012Q0929(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CO0166, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017CO0102, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015L1535, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998L0034","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019CO0723(01)","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019CB0723","Czechia, Spain, EU Member States, France, European Commission, EU institutions and bodies, Netherlands, Austria, Italy","*A9* Consiglio di Stato, Ordinanza del 11/07/2019 (06219/2019 ; 03708/2019)","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2020-06-30","","Szpunar, Court of Justice","6","2019","CO","0723","","","","","","","","",
"Judgment of the General Court (Fourth Chamber) of 25 June 2020.#Malacalza Investimenti Srl v European Central Bank.#Access to documents — Decision of the ECB to place Banca Carige SpA under temporary administration — Refusal to grant access — Default procedure.#Case T-552/19.","","62019TJ0552","","","","","","",,"","ca4d8a81-b6d5-11ea-bb7a-01aa75ed71a1","","2020-06-25","231023/10/2024 21:19:272024","Judgment","","ECLI:EU:T:2020:294","Provisions governing the Institutions, Access to documents","Provisions governing the Institutions, Access to documents","","","","","","","","","","","","EEC/EC - Legal proceedings * Legal proceedings, EEC/EC - Legal proceedings * Legal proceedings, Procedural rules, Procedural rules, Compliance with time-limits, Subject-matter, form of order sought and pleas in law, General","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62016TO0011, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0059, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E256, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E/PRO/03, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32015Q0423(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62000TO0041, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0258, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013L0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62016CJ0015, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62012CJ0350","","","","","","","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019TA0552, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019TJ0552(01)","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2020-06-25","","General Court","6","2019","TJ","0552","","","","","","","","Court reports – general – 'Information on unpublished decisions' section",
"Order of the Court (Sixth Chamber) of 12 May 2020.#Comprojecto-Projectos e Construçôes and Others v European Central Bank (ECB).#Article 155 of the Rules of Procedure of the Court of Justice — Omission to give a decision — None.#Case C-251/19 P-OST.","","62019CO0251(01)","","","","","","",,"","9e7251dd-a970-4d42-ab61-3501e76985e2","","2020-05-27","081208/12/2023 12:59:542023","Order","","ECLI:EU:C:2020:366","Provisions governing the Institutions, Economic and monetary policy","Provisions governing the Institutions, Economic and monetary policy","","","","","","","","","","","","EEC/EC - Legal proceedings * Legal proceedings, Procedural rules, General","Treaty on the Functioning of the European Union (consolidated version 2008)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62019CO0251, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62011CJ0212, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32012Q0929(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62018CO0755(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E263, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E268, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62017TO0768, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:62014CJ0235, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E265","","","","","","","","","","","","","","","","","ALL_ALL, EU_LAW_ALL, EU_CASE_LAW, ECB_ACTS","2020-05-12","","Campos Sánchez-Bordona, Court of Justice","6","2019","CO","0251","","","","","","","","",
"Decision of the ECB of 4 May 2020 on the identification of MasterCard Clearing Management System as a systemically important payment system pursuant to Regulation (EU) No 795/2014 on oversight requirements for systemically important payment systems (ECB/2020/26)","","32020D0026(01)","","","","","","",,"","398d2065-9e6f-11ea-9d2d-01aa75ed71a1","","2020-05-25","150915/09/2020 10:21:452020","Decision","","","European Central Bank (ECB), Payment and settlement systems, Oversight","European Central Bank (ECB)","Payment and settlement systems","Oversight","","","","","","","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0795","","","","","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","2020-05-04","","European Central Bank","3","2020","D","0026","","2020-05-04","No end date","","true","","","",
"Decision (EU) 2020/655 of the European Central Bank of 5 May 2020 adopting implementing rules concerning data protection at the European Central Bank and repealing Decision ECB/2007/1 (ECB/2020/28)","","32020D0655","","","","","","",,"","f4f2f826-9677-11ea-aac4-01aa75ed71a1","http://data.europa.eu/eli/dec/2020/655/oj","2020-05-15","231023/10/2022 06:07:242022","Decision","protection of privacy, personal data, natural person, European Central Bank, appointment of members, data protection","","European Central Bank (ECB), Provisions governing the Institutions, ECB institutional provisions, Data protection matters","European Central Bank (ECB), Provisions governing the Institutions","ECB institutional provisions","Data protection matters","","General, financial and institutional matters, Provisions governing the institutions, European Central Bank","General, financial and institutional matters","Provisions governing the institutions","European Central Bank","","","","","","Treaty on the Functioning of the European Union (consolidated version 2012)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016M/PRO/04, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1725","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016R0679, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32001R0045","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007D0001(01)","","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020D0655R(01)","","","","","","MAN2","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION, PUBLISHED_IN_OJ","2020-05-05","2020-05-15","European Central Bank","3","2020","D","0655","","2020-11-01, 2020-06-04","No end date","","true","REP","8","OJ L 152, 15/05/2020, p. 13–20
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Headquarters Agreement between the Government of the Federal Republic of Germany and the ECB concerning the seat of the ECB","AGR/1998/09181","41998Z9181","","","","","","",,"","d056cb3d-95f0-11ea-aac4-01aa75ed71a1","","2020-05-14","140114/01/2021 17:38:102021","Agreement","","","European Central Bank (ECB), European Central Bank (ECB), ECB institutional provisions, ECB institutional provisions, External relations matters, Rules of procedure and other internal arrangements","European Central Bank (ECB), European Central Bank (ECB)","ECB institutional provisions, ECB institutional provisions","External relations matters, Rules of procedure and other internal arrangements","","","","","","","","","","","Treaty establishing the European Community (consolidated version 1997)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E/TXT, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11965F/TXT, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E/PRO/04","","","","","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, LEGISLATION","1998-09-18","","Germany, European Central Bank","4","1998","Z, AB","9181","","1998-06-01, 1999-03-04","No end date","","true","","","",
