"Title","Subtitle","CELEX number","Initiating document","Procedure reference","Initial reference","Adopted acts","Current consolidated version","Latest consolidated version","Procedure status","LP_Legal basis","Cellar reference","ELI","Date created","Latest modification of notice","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Subject matter, 1st level","Subject matter, 2nd level","Subject matter, 3rd level","Subject matter, 4th level","Directory code","Directory code, 1st level","Directory code, 2nd level","Directory code, 3rd level","Directory code, 4th level","Directory code, 5th level","Directory code, 6th level","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Treaty","Legal basis","Consolidation: basic act","Instruments cited","Related document(s)","Instruments involved","Modifies","Case affecting","Earlier related instruments","Transposed legal act(s)","Modified by","Rectified by","Subsequent related instruments","Affected by case","Comments","Internal comment","Collection of the document","Date of document","Date of publication","Author","Obsolete CELEX number","Document sector","Document year","Document type","Document number","Document corrigendum","Procedure number","Date of effect","Date of end of validity","In force indicator","Entry in the directory","Number of pages","Publication Reference",
"Opinion of the European Central Bank of 23 September 2009 on an extension of the State guarantee covering liabilities of credit institutions (CON/2009/73)","","52009AB0073","","","","","","",,"","8cf8392c-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","161116/11/2022 16:23:142022","Opinion on draft national legislation","financial stability, State aid, financial supervision, Belgium, guarantee, national law, credit institution","","European Central Bank (ECB), Financial market stability","European Central Bank (ECB)","Financial market stability","","","Economic and monetary policy and free movement of capital, Economic policy, Instruments of economic policy","Economic and monetary policy and free movement of capital","Economic policy","Instruments of economic policy","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0048, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0029, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0025, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0049, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0091, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0046, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0062, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0074, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0061","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-09-23","","European Central Bank","","5","2009","AB","73","","","","","","","","",
"Opinion of the European Central Bank of 28 October 2009 on measures to improve liquidity and increase the competitiveness of credit institutions (CON/2009/86)","","52009AB0086","","","","","","",,"","a10a02a1-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","201120/11/2022 17:34:112022","Opinion on draft national legislation","national law, financial stability, share capital, Austria, money-market liquidity, competitiveness, credit institution","","European Central Bank (ECB), Financial market stability","European Central Bank (ECB)","Financial market stability","","","Economic and monetary policy and free movement of capital, Right of establishment and freedom to provide services, Economic policy, Sectoral application, Instruments of economic policy, Service activities, Banks","Economic and monetary policy and free movement of capital, Right of establishment and freedom to provide services","Economic policy, Sectoral application","Instruments of economic policy, Service activities","Banks","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006L0048, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-10-28","","European Central Bank","","5","2009","AB","86","","","","","","","","",
"Opinion of the European Central Bank of 1 October 2009 on the issuance of special government bonds to credit institutions (CON/2009/78)","","52009AB0078","","","","","","",,"","a56ff4d2-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","221122/11/2022 14:53:272022","Opinion on draft national legislation","money-market liquidity, bond, financial stability, public borrowing, Cyprus, credit institution, national law","","European Central Bank (ECB), European Central Bank (ECB), Financial market stability, Legal framework of the ESCB","European Central Bank (ECB), European Central Bank (ECB)","Financial market stability, Legal framework of the ESCB","","","General, financial and institutional matters, Economic and monetary policy and free movement of capital, Provisions governing the institutions, Economic policy, European System of Central Banks, Instruments of economic policy","General, financial and institutional matters, Economic and monetary policy and free movement of capital","Provisions governing the institutions, Economic policy","European System of Central Banks, Instruments of economic policy","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0079, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0059, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31993R3603, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0044, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E101, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0048, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0057, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0065, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008XC1025(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0058, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0062","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-10-01","","European Central Bank","","5","2009","AB","78","","","","","","","","",
"Opinion of the European Central Bank of 16 November 2009 on the realisation of collateral provided to the Banco de España, to other national central banks of the Member States or to the European Central Bank in the performance of their tasks (CON/2009/96)","","52009AB0096","","","","","","",,"","bd7566aa-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","191119/11/2022 18:24:102022","Opinion on draft national legislation","Spain, guarantee, central bank, securities, national law","","European Central Bank (ECB), Legal framework of the ESCB","European Central Bank (ECB)","Legal framework of the ESCB","","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32002L0047, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-11-16","","European Central Bank","","5","2009","AB","96","","","","","","","","",
"Opinion of the European Central Bank of 18 October 2000 on a draft law concerning the introduction of the euro in Mayotte and Saint Pierre-et-Miquelon, draft decree concerning the introduction of the euro in Mayotte and Saint Pierre-et-Miquelon and a related draft decision of the Governor of the Banque de France (CON/00/19)","","52000AB0019","","","","","","",,"","854035ca-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","201120/11/2022 16:58:022022","Opinion on draft national legislation","euro, Saint Pierre and Miquelon, single monetary policy, Mayotte, conversion rate, France, national implementing measure, money, central bank","","European Central Bank (ECB), European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Legal framework of the ESCB","European Central Bank (ECB), European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters, Legal framework of the ESCB","","","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital, Monetary policy, Economic policy, Economic and monetary union","Economic and monetary policy and free movement of capital, Economic and monetary policy and free movement of capital","Monetary policy, Economic policy","Economic and monetary union","","","","","","Treaty establishing the European Community (consolidated version 1997)","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2866, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2531, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999R2157, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2818, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31999D0095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R0974, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2533, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2532, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11997E123, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31997R1103, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0006(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998R2819","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2000-10-18","","European Central Bank","","5","2000","AB","19","","","","","","","","",
"Opinion of the European Central Bank of 29 September 2009 on the public audit of Lietuvos bankas (CON/2009/77)","","52009AB0077","","","","","","",,"","9cc86150-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","191119/11/2022 15:42:342022","Opinion on draft national legislation","audit, supervisory body, Lithuania, central bank, national law","","European Central Bank (ECB), European Central Bank (ECB), ECB institutional provisions, Legal framework of the ESCB, Auditing","European Central Bank (ECB), European Central Bank (ECB)","ECB institutional provisions, Legal framework of the ESCB","Auditing","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52006AB0033, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E/PRO/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52006AB0044, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0010, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52006AB0004","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-09-29","","European Central Bank","","5","2009","AB","77","","","","","","","","",
"Opinion of the European Central Bank of 7 December 2009 on the general terms and conditions, and the operating and technical requirements, of clearing service providers for the payment system in Hungary (CON/2009/98)","","52009AB0098","","","","","","",,"","b68e20c8-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","151115/11/2022 13:53:262022","Opinion on draft national legislation","banking supervision, central bank, national law, payment system, Hungary","","European Central Bank (ECB), Payment and settlement systems","European Central Bank (ECB)","Payment and settlement systems","","","Economic and monetary policy and free movement of capital, Monetary policy","Economic and monetary policy and free movement of capital","Monetary policy","","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-12-07","","European Central Bank","","5","2009","AB","98","","","","","","","","",
"Opinion of the European Central Bank of 29 October 2009 on extending the deadline for submitting certain banknotes to be exchanged (CON/2009/87)","","52009AB0087","","","","","","",,"","c5a8db9c-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","291129/11/2022 07:13:142022","Opinion on draft national legislation","national law, money, issuing of currency, Hungary","","European Central Bank (ECB), European Central Bank (ECB), Banknotes and coins, means of payment and currency matters, Legal framework of the ESCB","European Central Bank (ECB), European Central Bank (ECB)","Banknotes and coins, means of payment and currency matters, Legal framework of the ESCB","","","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Monetary policy, Provisions governing the institutions, European System of Central Banks","Economic and monetary policy and free movement of capital, General, financial and institutional matters","Monetary policy, Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E106, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E/PRO/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003D0004","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-10-29","","European Central Bank","","5","2009","AB","87","","","","","","","","",
"Opinion of the European Central Bank of 15 September 2009 on payment services (CON/2009/72)","","52009AB0072","","","","","","",,"","b8e72bf9-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","131113/11/2022 19:40:132022","Opinion on draft national legislation","payment system, central bank, national law, Romania, financial supervision","","European Central Bank (ECB), European Central Bank (ECB), Legal framework of the ESCB, Payment and settlement systems","European Central Bank (ECB), European Central Bank (ECB)","Legal framework of the ESCB, Payment and settlement systems","","","General, financial and institutional matters, Economic and monetary policy and free movement of capital, Provisions governing the institutions, Monetary policy, European System of Central Banks","General, financial and institutional matters, Economic and monetary policy and free movement of capital","Provisions governing the institutions, Monetary policy","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007L0064, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0027, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-09-15","","European Central Bank","","5","2009","AB","72","","","","","","","","",
"Opinion of the European Central Bank of 12 November 2009 on conditions and procedures for the application of the measures to strengthen financial stability (CON/2009/93)","","52009AB0093","","","","","","",,"","af198f06-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","231123/11/2022 08:12:132022","Opinion on draft national legislation","financial institution, Lithuania, national law, financial supervision, financial stability, central bank","","European Central Bank (ECB), European Central Bank (ECB), Legal framework of the ESCB, Financial market stability","European Central Bank (ECB), European Central Bank (ECB)","Legal framework of the ESCB, Financial market stability","","","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Economic policy, Provisions governing the institutions, Instruments of economic policy, European System of Central Banks","Economic and monetary policy and free movement of capital, General, financial and institutional matters","Economic policy, Provisions governing the institutions","Instruments of economic policy, European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0026, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E103, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31993R3603, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E/PRO/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0068, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0032, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0052, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E101","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-11-12","","European Central Bank","","5","2009","AB","93","","","","","","","","",
"Opinion of the European Central Bank of 10 December 2009 on the extension of the Austrian State guarantees for the interbank market (CON/2009/99)","","52009AB0099","","","","","","",,"","e0c55172-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","301130/11/2022 13:05:132022","Opinion on draft national legislation","State aid, payment system, interbank market, national law, guarantee, Austria, financial institution","","European Central Bank (ECB), Financial market stability","European Central Bank (ECB)","Financial market stability","","","Economic and monetary policy and free movement of capital, Economic policy, Instruments of economic policy","Economic and monetary policy and free movement of capital","Economic policy","Instruments of economic policy","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E282, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E127","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0048, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0055, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0073, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0049, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0086, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0082, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0079, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-12-10","","European Central Bank","","5","2009","AB","99","","","","","","","","",
"Opinion of the European Central Bank of 4 November 2009 on the ranking of the lien of the Nationale Bank van België/Banque Nationale de Belgique (CON/2009/90)","","52009AB0090","","","","","","",,"","e557f8f3-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","291129/11/2022 14:19:152022","Opinion on draft national legislation","central bank, national law, securities, guarantee, claim, Belgium","","European Central Bank (ECB), Legal framework of the ESCB","European Central Bank (ECB)","Legal framework of the ESCB","","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52006AB0040, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52005AB0012, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E/PRO/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-11-04","","European Central Bank","","5","2009","AB","90","","","","","","","","",
"Opinion of the European Central Bank of 7 October 2009 on extending government guarantees to banks and other institutions (CON/2009/79)","","52009AB0079","","","","","","",,"","a7ca5f93-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","201120/11/2022 12:22:132022","Opinion on draft national legislation","financial stability, State aid, financial institution, Sweden, national law, guarantee","","European Central Bank (ECB), Financial market stability","European Central Bank (ECB)","Financial market stability","","","Economic and monetary policy and free movement of capital, Economic policy, Instruments of economic policy","Economic and monetary policy and free movement of capital","Economic policy","Instruments of economic policy","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0073, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0024, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0062, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0062, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0030","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-10-07","","European Central Bank","","5","2009","AB","79","","","","","","","","",
"Opinion of the European Central Bank of 29 September 2009 on payment services (CON/2009/75)","","52009AB0075","","","","","","",,"","b3d84f97-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","291129/11/2022 03:20:162022","Opinion on draft national legislation","banking supervision, payment system, electronic money, Slovakia, national law, consumer protection","","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB), Legal framework of the ESCB, Statistics, Payment and settlement systems, General statistics","European Central Bank (ECB), European Central Bank (ECB), European Central Bank (ECB)","Legal framework of the ESCB, Statistics, Payment and settlement systems","General statistics","","Economic and monetary policy and free movement of capital, General, financial and institutional matters, Monetary policy, Provisions governing the institutions, European System of Central Banks","Economic and monetary policy and free movement of capital, General, financial and institutional matters","Monetary policy, Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0036, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32000L0064, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E/PRO/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007L0064, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0018, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32007O0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998L0026, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0027","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-09-29","","European Central Bank","","5","2009","AB","75","","","","","","","","",
"Opinion of the European Central Bank of 27 October 2009 on Národná banka Slovenska’s independence (CON/2009/85)","","52009AB0085","","","","","","",,"","c1e543eb-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","221122/11/2022 15:24:572022","Opinion on draft national legislation","foreign-exchange reserves, central bank, appointment of staff, Slovakia, institutional activity, profit, national law","","European Central Bank (ECB), European Central Bank (ECB), ECB institutional provisions, Legal framework of the ESCB, Monetary income","European Central Bank (ECB), European Central Bank (ECB)","ECB institutional provisions, Legal framework of the ESCB","Monetary income","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0053, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E/PRO/18, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0026, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52007AB0014, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E108","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-10-27","","European Central Bank","","5","2009","AB","85","","","","","","","","",
"Opinion of the European Central Bank of 23 October 2009 on the extension of State Treasury support to financial institutions (CON/2009/82)","","52009AB0082","","","","","","",,"","ca3a238d-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","171117/11/2022 19:49:422022","Opinion on draft national legislation","financial institution, national law, Poland, financial stability, Treasury, State aid","","European Central Bank (ECB), Financial market stability","European Central Bank (ECB)","Financial market stability","","","Economic and monetary policy and free movement of capital, Economic policy, Instruments of economic policy","Economic and monetary policy and free movement of capital","Economic policy","Instruments of economic policy","","","","","","Treaty establishing the European Community (consolidated version 2006)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E105, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0050, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0062, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0054, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0073, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008AB0080, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52009AB0024","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-10-23","","European Central Bank","","5","2009","AB","82","","","","","","","","",
"Opinion of the European Central Bank of 15 December 2009 on the competences of Banka Slovenije related to Slovenia’s membership of the International Monetary Fund (CON/2009/100)","","52009AB0100","","","","","","",,"","dbe83371-8535-11ea-bf12-01aa75ed71a1","","2020-04-23","261126/11/2022 11:40:172022","Opinion on draft national legislation","International Monetary Fund, national law, Slovenia, bilateral agreement, central bank, financial stability, international monetary system","","European Central Bank (ECB), European Central Bank (ECB), Legal framework of the ESCB, Financial market stability","European Central Bank (ECB), European Central Bank (ECB)","Legal framework of the ESCB, Financial market stability","","","General, financial and institutional matters, Provisions governing the institutions, European System of Central Banks","General, financial and institutional matters","Provisions governing the institutions","European System of Central Banks","","","","","","Treaty on the Functioning of the European Union (consolidated version 2008)","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E127, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998D0415, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E282","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0002, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E125, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31993R3603, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12008E123","","","","","","","","","","","","","ALL_ALL, ECB_ACTS, EU_LAW_ALL, PRE_ACTS","2009-12-15","","European Central Bank","","5","2009","AB","100","","","","","","","","",
